,Student_ID,Subject,Assignment_Name,Due_Date,Status,Grade_Feedback,Guardian_Signature
0,S12002,Science,Record.,2024-09-10,❌,C-,Yes
1,S01255,History,Head baby.,2024-10-16,❌,A+,No
2,S04968,Arabic,Keep audience medical free.,2025-02-11, ✔ ,A+,Yes
3,S07925,Geography,Three half peace.,2024-10-03, ✔ ,A+, 
4,S09980,Geography,Assume particularly.,2024-12-01,✔,B-,No
5,S08309,Geography,Four from kind dark.,2024-12-19, ✔ ,A,No
6,S11121,Math,Analysis late human.,2024-11-10,❌,F,Yes
7,S00175,Arabic,Shake by.,2024-09-09, ✔ ,A,No
8,S02439,Geography,Oil education large wonder.,2025-01-01,✔,C,No
9,S08144,Math,Never bar time personal.,2024-10-15,❌,A+,No
10,S08545,Math,Deal music.,02/07/2025,✔,F,No
11,S00424,History,Sister however.,2024-09-28,✔,B, 
12,S00568,Math,Range huge.,2025-01-28,✔,A,Yes
13,S07048,Arabic,Music build check force.,2025-02-01,✔,A+, 
14,S08771,Science,Strategy.,2025-02-26,❌,A+,Yes
15,S00004,English,Movement before.,03/02/2025,✔,C-,No
16,S03421,Science,Strategy family.,12/13/2024,✔,B,Yes
17,S05678,History,Alone yeah.,02/28/2025, ✔ ,A+, 
18,S01051,Geography,Town start industry.,2024-12-05, ✔ ,B-, 
19,S08351,Geography,Upon possible.,2024-10-06,✔,A+,Yes
20,S02892,Geography,All should.,2025-01-13, ✔ ,B-,No
21,S11787,History,Deal city.,2024-12-07, ✔ ,A+,No
22,S09553,History,Road from open receive.,2025-02-12,✔,A+,No
23,S00091,Geography,Laugh minute.,02/04/2025,❌,A, 
24,S05572,Math,Animal live.,2025-01-03,❌,B-,Yes
25,S03669,Science,Media environmental.,2025-02-11,✔,C-,Yes
26,S02662,Math,Story.,2024-09-24,pending,B,Yes
27,S02378,History,Social physical write.,2025-01-27,✔,A+,Yes
28,S07855,History,Whom care ask.,2025-02-20,❌,C-, 
29,S10106,Math,Hospital if.,01/25/2025,✔,B, 
30,S06166,Math,Message seek.,12/19/2024,❌,B, 
31,S07503,Geography,Scientist relate cover.,01/04/2025,✔,F, 
32,S09683,Geography,Success within medical.,2025-02-11,✔,C-,Yes
33,S03110,Geography,Red identify say.,2025-01-04, ✔ ,B, 
34,S04766,History,Generation.,02/17/2025,✔,C,No
35,S11466,Geography,Person job.,2025-01-08,✔,A+,No
36,S04410,Science,Health general small.,02/20/2025, ✔ ,D, 
37,S10067,History,Admit yard.,2024-11-16,❌,B,No
38,S06923,History,Place.,2025-02-22,pending,F,No
39,S05866,History,Everybody half fear.,2025-02-13,❌,B-,No
40,S07087,History,Positive inside.,2025-01-30, ✔ ,C,Yes
41,S07161,History,Sure factor.,2024-11-28,pending,C,Yes
42,S10924,History,Modern like director.,2024-10-24,❌,F,No
43,S07945,Math,Research prepare computer.,10/17/2024, ✔ ,B, 
44,S00187,Science,Foreign.,01/14/2025,✔,D,No
45,S09910,Math,Mother course.,2025-03-07,✔,F, 
46,S06993,English,Continue defense whatever.,11/13/2024, ✔ ,A,Yes
47,S03451,History,Occur son act.,2024-09-12,pending,A, 
48,S06188,History,Note line nation.,2024-10-17,❌,A+,Yes
49,S07794,English,Attention popular nice.,2025-03-07,❌,D, 
50,S09303,History,Eat toward according.,2024-12-08,✔,A,Yes
51,S05058,Math,Bring thousand sea.,12/02/2024,❌,C,No
52,S03048,English,Themselves play adult.,2025-01-30,❌,B-,No
53,S11320,Geography,Answer.,2025-01-09,✔,A+, 
54,S11107,Math,Long.,12/07/2024,✔,C-,Yes
55,S07251,English,Sometimes expert.,11/13/2024,pending,C, 
56,S05103,Geography,Fear across.,2024-09-12, ✔ ,D, 
57,S07306,Geography,Moment.,10/23/2024,❌,A, 
58,S00828,Science,Station television manager.,2024-10-02,✔,F,No
59,S02329,Science,Type follow.,2024-09-13, ✔ ,A+,No
60,S04045,Science,Behind suddenly truth.,2024-11-02,✔,B-, 
61,S08571,English,Especially require.,12/14/2024,❌,A, 
62,S03713,History,Quickly simple.,2024-10-08,✔,A, 
63,S04784,Math,Read surface determine.,2024-11-21, ✔ ,B,No
64,S04006,Arabic,Professional stand.,2025-02-16,✔,D,Yes
65,S11171,Arabic,Whose save nearly.,02/11/2025,✔,D,Yes
66,S08040,Math,Company black how.,2025-02-27, ✔ ,D,Yes
67,S01574,Science,Radio agency hit.,2024-10-15,✔,A+,Yes
68,S07756,Math,Well owner place.,2024-09-13,✔,D, 
69,S01777,Math,Try sing moment.,2024-10-27, ✔ ,C,No
70,S06533,English,Theory single.,2025-01-12,pending,A,Yes
