,product_id,category,color,size,season,supplier,cost_price,list_price
0,P000001,Bottoms,Black,XL,Spring,supplierb,78.3,46.4
1,P000002,missing,Black,M,Summer,supplierc,39.7,147.8
2,P000003,Tops,Black,XL,Summer,supplierd,27.6,44.4
3,P000004,Accessories,White,XL,Winter,supplierb,7.4,68.5
4,P000005,Accessories,,XL,Fall,suppliera,12.0,76.8
5,P000006,Shoes,Black,M,Fall,supplierc,68.7,188.0
6,P000007,Tops,Blue,S,Fall,supplierb,13.5,44.2
7,P000008,missing,Yellow,M,Fall,supplierc,50.0,169.6
8,P000009,Tops,Yellow,XS,Summer,supplierb,14.1,12.2
9,P000010,Accessories,Black,S,Winter,supplierd,19.6,55.4
10,P000011,Bottoms,Green,XS,Summer,supplierd,41.8,117.4
11,P000012,Tops,Green,XL,Fall,supplierb,9.6,144.5
12,P000013,Accessories,White,S,Fall,supplierc,59.1,111.4
13,P000014,Shoes,Black,XL,Fall,supplierd,35.1,177.9
14,P000015,Bottoms,Blue,XS,Spring,supplierd,32.8,144.5
15,P000016,Shoes,White,M,Spring,supplierd,31.6,133.1
16,P000017,Bottoms,White,S,Spring,supplierb,8.1,51.9
17,P000018,Accessories,Black,XL,Summer,suppliera,16.5,135.2
18,P000019,Dresses,Black,L,Winter,supplierb,28.1,43.5
19,P000020,Bottoms,White,XL,Spring,supplierb,66.0,43.8
20,P000021,Shoes,White,XS,Spring,supplierb,54.4,112.8
21,P000022,Accessories,White,XS,Fall,supplierb,74.0,120.8
22,P000023,Bottoms,Red,M,Spring,supplierb,66.2,125.1
23,P000024,Dresses,White,S,Summer,suppliera,17.4,138.7
24,P000025,Dresses,Green,L,Spring,supplierb,44.0,186.7
25,P000026,Tops,Yellow,XS,Fall,supplierd,43.2,138.9
26,P000027,Tops,Blue,S,Winter,suppliera,53.7,57.1
27,P000028,Shoes,Blue,L,Spring,supplierb,11.1,136.8
28,P000029,Bottoms,Yellow,M,Fall,supplierd,64.2,43.8
29,P000030,Bottoms,Black,S,Fall,supplierd,26.3,183.4
30,P000031,Tops,White,XL,Winter,supplierd,74.4,123.3
31,P000032,Bottoms,Blue,L,Fall,suppliera,74.6,12.2
32,P000033,missing,Blue,XL,Fall,supplierc,20.4,186.7
33,P000034,Dresses,Green,XL,Spring,supplierb,74.6,155.8
34,P000035,Tops,Green,L,Summer,supplierc,30.7,10.4
35,P000036,Accessories,Red,XL,Fall,supplierc,22.7,29.6
